"sp_new","sp_old","family_new","family_old"
"Chrysotoxum_intermedium","Musca_intermedium","Syrphidae","Muscidae"
"Eristalinus_aeneus","Cheilosia_aeneus","Syrphidae","Syrphidae"
"Muscina_stabulans","Musca_stabulans","Muscidae","Muscidae"
"Xanthogramma_citrofasciatum","Musca_citrofasciatum","Syrphidae","Muscidae"
"Epistrophe_melanostoma","Scaeva_melanostoma","Syrphidae","Syrphidae"
"Fannia_serena","Fannia_serrata","Fanniidae","Fanniidae"
"Xanthogramma_festivum","Musca_festivum","Syrphidae","Muscidae"
"Hydrotaea_cyrtoneurina","Helina_cyrtoneurina","Muscidae","Muscidae"
"Linnaemya_tessellans","Eurithia_tessellans","Tachinidae","Tachinidae"
"Mycophaga_testacea","Coenosia_testacea","Anthomyiidae","Muscidae"
"Pegomya_geniculata","Fannia_geniculata","Anthomyiidae","Fanniidae"
"Thelaira_nigripes","Thelaira_nigripennis","Tachinidae","Tachinidae"
"Eurithia_intermedia","Tachina_intermedia","Tachinidae","Tachinidae"
"Toxophora_fasciculata","Asilus_fasciculata","Bombyliidae","Asilidae"
"Hybomitra_micans","Pangonius_micans","Tabanidae","Tabanidae"
"Psilota_atra","Pipizella_atra","Syrphidae","Syrphidae"
"Oebalia_minuta","Tachina_minuta","Sarcophagidae","Tachinidae"
"Chrysotoxum_fasciatum","Chrysotoxum_fasciatus","Syrphidae","Syrphidae"
"Phryxe_magnicornis","Tachina_magnicornis","Tachinidae","Tachinidae"
